
r	408	1	54	 1
r	409	1	54	 2
r	410	1	54	 3
r	411	1	54	 4
r	412	1	54	 5
r	413	1	54	 6
r	414	1	54	 7
r	415	1	54	 8
r	416	1	54	 9
r	417	1	54	 10
r	418	1	54	 11
r	419	1	54	 12
r	420	1	54	 13
r	421	1	54	 14
r	422	1	54	 15
r	423	1	54	 16
r	408	2	54	 17
r	409	2	54	 18
r	410	2	54	 19
r	411	2	54	 20
r	412	2	54	 21
r	413	2	54	 22
r	414	2	54	 23
r	415	2	54	 24
r	416	2	54	 25
r	417	2	54	 26
r	418	2	54	 27
r	419	2	54	 28
r	420	2	54	 29
r	421	2	54	 30
r	422	2	54	 31
r	423	2	54	 32


w	420	2	54	 10000
r	412	2	54	 10001
w	417	1	54	 10002
r	415	1	54	 10152
w	416	2	54	 10153
r	416	1	54	 10154
r	419	2	54	 10304
r	416	2	54	 10305
w	412	1	54	 10306
w	415	1	54	 10456

