Warm-up
r	001	00	00	1
r	002	00	00	2
r	003	00	00	3
r	004	00	00	4
r	005	00	00	5
r	006	00	00	6
r	007	00	00	7
r	008	00	00	8
r	001	00	01	9
r	002	00	01	10
r	003	00	01	11
r	004	00	01	12
r	005	00	01	13
r	006	00	01	14
r	007	00	01	15
r	008	00	01	16
r	001	01	00	17
r	002	01	00	18
r	003	01	00	19
r	004	01	00	20
r	005	01	00	21
r	006	01	00	22
r	007	01	00	23
r	008	01	00	24
r	001	01	01	25
r	002	01	01	26
r	003	01	01	27
r	004	01	01	28
r	005	01	01	29
r	006	01	01	30
r	007	01	01	31
r	008	01	01	32


r	007	01	01	10000
r	005	01	01	10003
r	008	01	01	10005
r	006	01	01	10007 
r	003	01	01	10009        
r	001	00	01	10011        
r	008	01	01	11000        
r	005	01	01	11003        
r	004	00	01	11005        
r	006	01	01	12000        


r	007	01	01	10000
r	005	01	01	10003
r	008	01	01	10005
r	006	01	01	10007
r	003	02	01	10100     
r	008	01	01	10105       
r	010	01	01	11000        
r	010	01	01	11000		    
r	011	00	01	11001       
r	010	02	01	11003       
r	004	00	01	12000        
r	011	00	01	12001       
r	004	00	01	12003       


w	007	01	01	10000
r	005	01	01	10003
w	008	01	01	10005
r	006	01	01	10007
w	007	00	01	10100            
w	007	01	01	11000            
w	007	01	01	11005     
r	005	01	01	12003          
r	007	01	01	12007     



w	007	01	01	10000
r	005	01	01	10003
w	008	01	01	10005
r	006	01	01	10007 
w	010	01	01	10100        
w	009	01	01	11000    
r	010	01	01	11005   
r	001	01	01	11007    
w	010	01	01	12003   
w	010	02	01	12005      
r	010	02	01	13003  
